dataset_id,train_ratio,input_dim,output_dim,num_epochs,batch_size,learning_rate,loss_function,embedding_type,negative_ratio,temperature,train_auc,valid_auc,test_auc,train_pr_auc,valid_pr_auc,test_pr_auc,train_f1,valid_f1,test_f1,train_k_precision,valid_k_precision,test_k_precision,train_mcc,valid_mcc,test_mcc,train_k_recall,valid_k_recall,test_k_recall
1,0.5,64,16,5,32,0.005,SNN,pca,20,0.1,0.5885,0.5556,0.6483,0.0319,0.0309,0.0416,0.05,0.0507,0.0508,0.0391,0.0462,0.0308,0.0051,0.0057,0.008,0.0391,0.0462,0.0308
1,0.3,64,16,5,32,0.0005,SNN,pca,20,1.0,0.6879,0.8891,0.8584,0.0593,0.2139,0.1923,0.0501,0.0502,0.0507,0.0909,0.2778,0.2637,0.0066,0.0055,0.0055,0.0909,0.2778,0.2637
1,0.8,64,16,5,16,0.001,SNN,pca,20,0.1,0.5025,0.4417,0.5449,0.0264,0.0294,0.0284,0.0503,0.0507,0.0507,0.0291,0.0769,0.0,0.006,0.0073,0.0052,0.0291,0.0769,0.0
1,0.3,64,16,5,32,0.005,SNN,pca,5,10.0,0.656,0.8385,0.8297,0.0516,0.1607,0.2436,0.0501,0.0502,0.0508,0.0779,0.2,0.2527,0.0051,0.0073,0.0068,0.0779,0.2,0.2527
1,0.5,64,16,5,16,0.0005,SNN,pca,100,10.0,0.7689,0.8922,0.8546,0.1155,0.2707,0.322,0.05,0.0507,0.0508,0.2188,0.4154,0.3846,0.0076,0.0057,0.008,0.2188,0.4154,0.3846
1,0.3,64,16,5,64,0.005,SNN,pca,10,10.0,0.3893,0.5528,0.498,0.0196,0.0379,0.032,0.0501,0.0502,0.0507,0.0,0.0556,0.0549,0.0066,0.0048,0.0055,0.0,0.0556,0.0549
1,0.3,64,16,5,32,0.001,SNN,pca,100,10.0,0.4541,0.7393,0.7104,0.0275,0.1966,0.0851,0.0502,0.0502,0.0508,0.0519,0.2556,0.1209,0.0073,0.0048,0.0068,0.0519,0.2556,0.1209
1,0.3,64,16,5,32,0.0001,SNN,pca,20,0.1,0.5984,0.6036,0.6049,0.0359,0.0537,0.0354,0.0501,0.0502,0.0508,0.039,0.0667,0.033,0.0059,0.0055,0.0078,0.039,0.0667,0.033
1,0.3,64,16,5,16,0.005,SNN,pca,20,0.1,0.4885,0.5596,0.5551,0.0245,0.0289,0.029,0.0501,0.0502,0.0507,0.0,0.0222,0.022,0.0059,0.0067,0.0039,0.0,0.0222,0.022
1,0.3,64,16,5,32,0.0005,SNN,pca,50,10.0,0.9105,0.9001,0.8922,0.1871,0.2157,0.2537,0.0501,0.0502,0.0508,0.2338,0.3111,0.3077,0.0059,0.0061,0.0083,0.2338,0.3111,0.3077
